##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	pc33_read1.fq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	404640790
Sequences flagged as poor quality	0
Sequence length	150
%GC	46
>>END_MODULE
>>Per base sequence quality	warn
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1101	71	-0.5904840581281796
1101	72	-0.5368395445742813
1101	73	-0.5537709442772325
1101	74	-0.5981356324432845
1101	75	-0.5628932817993793
1101	76	-0.5800870082219305
1101	77	-0.5129520886842265
1101	78	-0.5782244815363278
1101	79	-0.5477910618297521
1101	80	-0.6844233896736007
1101	81	-0.5385189993743289
1101	82	-0.6403893121433342
1101	83	-0.6992865705418367
1101	84	-0.6168990001811565
1101	85	-0.5486194592458062
1101	86	-0.6646450209292603
1101	87	-0.6807358363963267
1101	88	-0.6473774877536975
1101	89	-0.5962578503421767
1101	90	-0.6312502587786994
1101	91	-0.6893377836499113
1101	92	-0.6594878199917069
1101	93	-0.6149553785290536
1101	94	-0.5775965987929581
1101	95	-0.6141597726002992
1101	96	-0.5669187198281627
1101	97	-0.6336078312726947
1101	98	-0.6524394403005047
1101	99	-0.6275606226778905
1101	100	-0.6379304618864623
1101	101	-0.6204690161191202
1101	102	-0.6764015737543616
1101	103	-0.6567840797586797
1101	104	-0.5821327723054175
1101	105	-0.5574300378116845
1101	106	-0.5933200647836294
1101	107	-0.6408774581483492
1101	108	-0.6546297627672004
1101	109	-0.6734388353218144
1101	110	-0.6612114074308479
1101	111	-0.6965881000480145
1101	112	-0.6776889009062366
1101	113	-0.6002401948987206
1101	114	-0.6561021386266788
1101	115	-0.6504050166365758
1101	116	-0.6247670726032695
1101	117	-0.6272115814844881
1101	118	-0.6241035035333198
1101	119	-0.7550486309474493
1101	120	-0.5911580276777961
1101	121	-0.6611871771025903
1101	122	-0.6677169666001106
1101	123	-0.6566404745989054
1101	124	-0.6792697541354258
1101	125	-0.6683176725325453
1101	126	-0.6272169320546581
1101	127	-0.6365233624296174
1101	128	-0.6621786588990659
1101	129	-0.7449489653129966
1101	130	-0.7843227454931743
1101	131	-0.5850313474056819
1101	132	-0.611065106210507
1101	133	-0.6973785982632563
1101	134	-0.8781698225112002
1101	135	-0.8692363938176015
1101	136	-0.740006274660324
1101	137	-0.6092388365830708
1101	138	-0.7747314473512041
1101	139	-0.7571957528188875
1101	140	-0.7700341372747914
1101	141	-0.6956860747600047
1101	142	-0.6924876304733019
1101	143	-0.6663075170241655
1101	144	-0.5429506326170461
1101	145	-0.6351636870178936
1101	146	-0.5879480378223079
1101	147	-0.760872765987834
1101	148	-0.6459915505513614
1101	149	-0.6135961192504453
1101	150	-0.5154424299384601
1102	1	0.07735882510002057
1102	2	-0.056825807489559566
1102	3	-0.44395188476224945
1102	4	-0.38534425216397494
1102	5	-0.5829923516717912
1102	6	-0.8508657112574127
1102	7	-0.7028164041016183
1102	8	-0.6154512512657746
1102	9	-0.6346609190714645
1102	10	-0.7273275697044213
1102	11	-0.6423122358224873
1102	12	-0.9084688810793153
1102	13	-0.7590820230803601
1102	14	-0.9677379163919468
1102	15	-0.9616900056944644
1102	16	-0.36739234707911805
1102	17	-0.2922504965205732
1102	18	-0.30128959076864703
1102	19	-0.34083874062329755
1102	20	-0.3600885893393482
1102	21	-0.3034427510402722
1102	22	-0.37513360126833817
1102	23	-0.4988690587429474
1102	24	-0.46016578500460525
1102	25	-0.3731324278997974
1102	26	-0.5043206159413458
1102	27	-0.5494027516741653
1102	28	-0.5812672177222922
1102	29	-0.5012538996796536
1102	30	-0.4134009563796184
1102	31	-0.5316959884757608
1102	32	-0.5096303981028072
1102	33	-0.517704525343845
1102	34	-0.6008018864121567
1102	35	-0.7116687424464132
1102	36	-0.4012321345711314
1102	37	-0.5781164606902749
1102	38	-0.5038638348034041
1102	39	-0.5129782284223197
1102	40	-0.5212813132472434
1102	41	-0.4719710278852318
1102	42	-0.5176947476606415
1102	43	-0.49832135256360033
1102	44	-0.5288862372297061
1102	45	-0.6380042874563969
1102	46	-0.5704940499268574
1102	47	-0.5851403499723489
1102	48	-0.6360834895888701
1102	49	-0.5805466864563016
1102	50	-0.5952649503799137
1102	51	-0.695955432609054
1102	52	-0.5790583715748596
1102	53	-0.5795506534667823
1102	54	-0.6248448305341796
1102	55	-0.6251210201507718
1102	56	-0.6692248771383902
1102	57	-0.5974591758318084
1102	58	-0.5735131305210679
1102	59	-0.6645124802779669
1102	60	-0.5327849686911392
1102	61	-0.580972080486994
1102	62	-0.5959696400403978
1102	63	-0.5923284914789697
1102	64	-0.592387769794751
1102	65	-0.4884126538174698
1102	66	-0.5750981196056593
1102	67	-0.5759841365224609
1102	68	-0.5140791752803082
1102	69	-0.5430002863737293
1102	70	-0.6440974629121037
1102	71	-0.5290715259987806
1102	72	-0.5277440929528261
1102	73	-0.5698781793175307
1102	74	-0.5919614021800044
1102	75	-0.6135899006504779
1102	76	-0.5793342275719731
1102	77	-0.573351500410535
1102	78	-0.5877808381624199
1102	79	-0.5737118671096333
1102	80	-0.5763235650200826
1102	81	-0.5240207805190629
1102	82	-0.5401506368268834
1102	83	-0.5532694886291338
1102	84	-0.5622066581002443
1102	85	-0.6082658524999474
1102	86	-0.7286835125832845
1102	87	-0.5772114916280131
1102	88	-0.6221559097845031
1102	89	-0.6143151852957836
1102	90	-0.5520067184271511
1102	91	-0.5790677362885575
1102	92	-0.7266429306232176
1102	93	-0.6000783222249204
1102	94	-0.6151247461284122
1102	95	-0.628151365686211
1102	96	-0.6864222412658307
1102	97	-0.6675909362504662
1102	98	-0.6252607466627325
1102	99	-0.6308118468050772
1102	100	-0.5972640859804201
1102	101	-0.6591034834933573
1102	102	-0.659325158743048
1102	103	-0.6499626285682822
1102	104	-0.665720319849239
1102	105	-0.6018840814076647
1102	106	-0.5953231357051827
1102	107	-0.6103481718173072
1102	108	-0.6246207158602033
1102	109	-0.6135839264418337
1102	110	-0.635781206037894
1102	111	-0.6033062045401678
1102	112	-0.7055523524845668
1102	113	-0.6098876429888378
1102	114	-0.5789835464127329
1102	115	-0.7121410025335884
1102	116	-0.5523545985719451
1102	117	-0.633718593924975
1102	118	-0.6315286853028539
1102	119	-0.7348865460745344
1102	120	-0.5870496167266772
1102	121	-0.6773002465663289
1102	122	-0.6686784012350948
1102	123	-0.6843116391391035
1102	124	-0.6997550927385845
1102	125	-0.6302855732606538
1102	126	-0.656591301489275
1102	127	-0.682788275480565
1102	128	-0.6236192099857654
1102	129	-0.5325149784733227
1102	130	-0.762992010046716
1102	131	-0.7386508097513733
1102	132	-0.7681106286831714
1102	133	-0.8152114586648018
1102	134	-0.7361080996199725
1102	135	-0.7932799709662461
1102	136	-0.6824387776060803
1102	137	-0.6222901851042799
1102	138	-0.6847047822746433
1102	139	-0.727816237978459
